IP地址,端口,IP段,大洲,国家,城市
65.21.243.37,50121,65.21.0.0/16,EU,FI,Helsinki
176.124.220.179,443,176.124.220.0/23,EU,FI,Helsinki
135.181.250.100,2053,135.181.0.0/16,EU,FI,Helsinki
91.108.241.3,2053,91.108.240.0/23,EU,FI,Helsinki
94.131.100.136,2053,94.131.100.0/22,EU,FI,Helsinki
135.181.198.101,8443,135.181.0.0/16,EU,FI,Helsinki
95.182.99.23,8443,95.182.96.0/22,EU,FI,Helsinki
109.120.184.95,2053,109.120.184.0/22,EU,FI,Helsinki
135.181.35.98,443,135.181.0.0/16,EU,FI,Helsinki
185.105.118.126,8443,185.105.118.0/24,EU,FI,Helsinki
135.181.30.234,8443,135.181.0.0/16,EU,FI,Helsinki
95.182.99.23,2053,95.182.96.0/22,EU,FI,Helsinki
77.221.158.125,8443,77.221.152.0/21,EU,FI,Helsinki
194.53.54.30,443,194.53.54.0/24,EU,FI,Helsinki
176.124.220.175,443,176.124.220.0/23,EU,FI,Helsinki
109.120.187.51,2053,109.120.184.0/22,EU,FI,Helsinki
80.85.241.99,443,80.85.241.0/24,EU,FI,Helsinki
65.109.15.37,2053,65.108.0.0/15,EU,FI,Helsinki
65.109.202.208,8443,65.108.0.0/15,EU,FI,Helsinki
135.181.197.230,2053,135.181.0.0/16,EU,FI,Helsinki
65.109.202.208,2053,65.108.0.0/15,EU,FI,Helsinki
95.217.151.107,443,95.216.0.0/15,EU,FI,Helsinki
188.130.206.140,443,188.130.206.0/23,EU,FI,Helsinki
185.233.82.55,443,185.233.82.0/24,EU,FI,Helsinki
185.125.101.249,2053,185.125.100.0/22,EU,FI,Helsinki
176.124.206.150,8443,176.124.206.0/23,EU,FI,Helsinki
185.188.181.214,443,185.188.181.0/24,EU,FI,Helsinki
176.124.206.60,8443,176.124.206.0/23,EU,FI,Helsinki
217.197.107.85,2053,217.197.107.0/24,EU,FI,Helsinki
37.27.85.102,443,37.27.0.0/16,EU,FI,Helsinki
65.109.182.235,55915,65.108.0.0/15,EU,FI,Helsinki
91.149.254.138,443,91.149.254.0/23,EU,FI,Helsinki
95.217.195.186,8443,95.216.0.0/15,EU,FI,Helsinki
185.188.181.218,8443,185.188.181.0/24,EU,FI,Helsinki
213.159.68.143,443,213.159.64.0/20,EU,FI,Helsinki
46.8.228.182,2053,46.8.224.0/21,EU,FI,Helsinki
45.144.234.58,8443,45.144.232.0/22,EU,FI,Helsinki
65.109.211.85,3030,65.108.0.0/15,EU,FI,Helsinki
23.164.240.213,2053,23.164.240.0/24,EU,FI,Helsinki
95.181.167.206,443,95.181.167.0/24,EU,FI,Helsinki
194.53.54.84,8443,194.53.54.0/24,EU,FI,Helsinki
217.144.186.237,2053,217.144.186.0/23,EU,FI,Helsinki
91.108.241.54,8443,91.108.240.0/23,EU,FI,Helsinki
66.151.34.227,8443,66.151.32.0/22,EU,FI,Helsinki
188.130.206.93,2053,188.130.206.0/23,EU,FI,Helsinki
193.233.112.252,8443,193.233.112.0/23,EU,FI,Helsinki
109.107.190.235,2053,109.107.190.0/24,EU,FI,Helsinki
95.216.17.80,443,95.216.0.0/15,EU,FI,Helsinki
65.109.206.21,8443,65.108.0.0/15,EU,FI,Helsinki
45.159.249.160,8443,45.159.248.0/22,EU,FI,Helsinki
2.56.173.227,443,2.56.172.0/22,EU,FI,Helsinki
65.109.211.85,2053,65.108.0.0/15,EU,FI,Helsinki
37.27.17.144,22222,37.27.0.0/16,EU,FI,Helsinki
185.174.137.106,2053,185.174.137.0/24,EU,FI,Helsinki
185.125.228.214,443,185.125.228.0/24,EU,FI,Helsinki
95.182.99.128,8443,95.182.96.0/22,EU,FI,Helsinki
79.137.248.211,8443,79.137.248.0/24,EU,FI,Helsinki
65.109.200.29,8678,65.108.0.0/15,EU,FI,Helsinki
78.153.139.87,2053,78.153.139.0/24,EU,FI,Uusimaa
65.108.149.250,2053,65.108.0.0/15,EU,FI,Helsinki
65.108.245.196,443,65.108.0.0/15,EU,FI,Helsinki
46.8.237.3,443,46.8.236.0/23,EU,FI,Helsinki
193.164.155.27,8443,193.164.155.0/24,EU,FI,Helsinki
77.91.78.4,8443,77.91.78.0/24,EU,FI,Helsinki
77.221.144.210,443,77.221.144.0/24,EU,FI,N/A
176.124.220.237,2053,176.124.220.0/23,EU,FI,Helsinki
185.252.144.185,2053,185.252.144.0/24,EU,FI,Helsinki
37.27.91.126,443,37.27.0.0/16,EU,FI,Helsinki
92.246.142.132,443,92.246.140.0/22,EU,FI,Helsinki
193.164.155.27,2053,193.164.155.0/24,EU,FI,Helsinki
77.91.78.4,2053,77.91.78.0/24,EU,FI,Helsinki
91.184.243.57,2053,91.184.240.0/22,EU,FI,Helsinki
91.108.241.161,8443,91.108.240.0/23,EU,FI,Helsinki
79.137.206.57,2053,79.137.204.0/22,EU,FI,Helsinki
23.164.240.143,8443,23.164.240.0/24,EU,FI,Helsinki
109.120.184.66,8443,109.120.184.0/22,EU,FI,Helsinki
46.8.228.185,443,46.8.224.0/21,EU,FI,Helsinki
185.17.2.103,8443,185.17.2.0/24,EU,FI,Helsinki
195.26.230.99,2053,195.26.230.0/23,EU,FI,Helsinki
45.159.249.141,8443,45.159.248.0/22,EU,FI,Helsinki
45.156.22.150,587,45.156.22.0/23,EU,FI,Helsinki
45.138.73.136,8443,45.138.73.0/24,EU,FI,Helsinki
65.109.186.190,8443,65.108.0.0/15,EU,FI,Helsinki
46.8.71.70,443,46.8.68.0/22,EU,FI,Helsinki
94.131.100.225,2053,94.131.100.0/22,EU,FI,Helsinki
37.27.38.42,443,37.27.0.0/16,EU,FI,Helsinki
178.236.244.16,443,178.236.244.0/24,EU,FI,Helsinki
135.181.81.147,443,135.181.0.0/16,EU,FI,Helsinki
46.8.238.223,8443,46.8.238.0/24,EU,FI,Helsinki
193.84.2.14,2053,193.84.2.0/23,EU,FI,Helsinki
85.192.61.43,2053,85.192.60.0/23,EU,FI,Helsinki
178.236.244.8,2053,178.236.244.0/24,EU,FI,Helsinki
185.105.118.135,2053,185.105.118.0/24,EU,FI,Helsinki
94.131.100.123,2053,94.131.100.0/22,EU,FI,Helsinki
185.17.2.108,2053,185.17.2.0/24,EU,FI,Helsinki
193.84.2.64,443,193.84.2.0/23,EU,FI,Helsinki
65.109.190.54,2021,65.108.0.0/15,EU,FI,Helsinki
91.108.241.5,2053,91.108.240.0/23,EU,FI,Helsinki
185.102.136.128,443,185.102.136.0/24,EU,FI,Helsinki
194.53.54.131,8443,194.53.54.0/24,EU,FI,Helsinki
185.174.137.149,2053,185.174.137.0/24,EU,FI,Helsinki
77.91.78.15,2053,77.91.78.0/24,EU,FI,Helsinki
135.181.249.212,8443,135.181.0.0/16,EU,FI,Helsinki
45.156.22.237,2053,45.156.22.0/23,EU,FI,Helsinki
198.105.124.152,8443,198.105.124.0/23,EU,FI,Helsinki
135.181.249.212,2053,135.181.0.0/16,EU,FI,Helsinki
198.105.124.152,2053,198.105.124.0/23,EU,FI,Helsinki
65.108.242.203,2053,65.108.0.0/15,EU,FI,Helsinki
109.107.190.40,8443,109.107.190.0/24,EU,FI,Helsinki
185.112.82.28,443,185.112.82.0/24,EU,FI,Helsinki
77.221.159.46,8443,77.221.152.0/21,EU,FI,Helsinki
79.137.206.15,2053,79.137.204.0/22,EU,FI,Helsinki
77.221.158.1,2053,77.221.152.0/21,EU,FI,Helsinki
91.184.243.25,8443,91.184.240.0/22,EU,FI,Helsinki
217.144.188.156,8443,217.144.188.0/23,EU,FI,Helsinki
135.181.151.136,2053,135.181.0.0/16,EU,FI,Helsinki
194.116.172.76,2053,194.116.172.0/23,EU,FI,Helsinki
217.144.188.156,2053,217.144.188.0/23,EU,FI,Helsinki
95.217.184.234,8443,95.216.0.0/15,EU,FI,Helsinki
85.192.61.87,8443,85.192.60.0/23,EU,FI,Helsinki
46.8.70.45,2053,46.8.68.0/22,EU,FI,Helsinki
95.182.99.170,2053,95.182.96.0/22,EU,FI,Helsinki
77.91.78.18,8443,77.91.78.0/24,EU,FI,Helsinki
95.216.148.189,8443,95.216.0.0/15,EU,FI,Helsinki
109.107.190.3,8443,109.107.190.0/24,EU,FI,Helsinki
79.137.248.200,2053,79.137.248.0/24,EU,FI,Helsinki
77.221.159.149,443,77.221.152.0/21,EU,FI,Helsinki
37.27.6.95,2053,37.27.0.0/16,EU,FI,Helsinki
65.21.176.63,8443,65.21.0.0/16,EU,FI,Helsinki
65.109.207.234,2053,65.108.0.0/15,EU,FI,Helsinki
185.174.137.10,8443,185.174.137.0/24,EU,FI,Helsinki
77.221.159.194,2053,77.221.152.0/21,EU,FI,Helsinki
185.231.206.22,443,185.231.204.0/22,EU,FI,Helsinki
193.164.155.8,2053,193.164.155.0/24,EU,FI,Helsinki
217.144.188.147,2053,217.144.188.0/23,EU,FI,Helsinki
141.98.169.24,8443,141.98.168.0/23,EU,FI,Helsinki
176.124.206.173,8443,176.124.206.0/23,EU,FI,Helsinki
185.94.167.181,8443,185.94.167.0/24,EU,FI,Helsinki
85.192.61.128,2053,85.192.60.0/23,EU,FI,Helsinki
176.124.206.250,2053,176.124.206.0/23,EU,FI,Helsinki
45.156.22.52,2053,45.156.22.0/23,EU,FI,Helsinki
135.181.250.100,8443,135.181.0.0/16,EU,FI,Helsinki
95.164.113.169,8443,95.164.112.0/22,EU,FI,Helsinki
65.109.161.254,2053,65.108.0.0/15,EU,FI,Helsinki
65.108.221.173,443,65.108.0.0/15,EU,FI,Helsinki
109.120.184.95,8443,109.120.184.0/22,EU,FI,Helsinki
217.144.186.190,2053,217.144.186.0/23,EU,FI,Helsinki
212.237.219.99,443,212.237.216.0/22,EU,FI,Helsinki
66.151.35.94,443,66.151.32.0/22,EU,FI,Helsinki
65.109.15.37,8443,65.108.0.0/15,EU,FI,Helsinki
135.181.197.230,8443,135.181.0.0/16,EU,FI,Helsinki
65.109.12.58,2053,65.108.0.0/15,EU,FI,Helsinki
91.103.140.15,2053,91.103.140.0/24,EU,FI,Helsinki
77.91.70.171,2053,77.91.70.0/24,EU,FI,Helsinki
135.181.41.26,443,135.181.0.0/16,EU,FI,Helsinki
185.188.181.187,443,185.188.181.0/24,EU,FI,Helsinki
77.221.159.79,2053,77.221.152.0/21,EU,FI,Helsinki
185.188.181.49,443,185.188.181.0/24,EU,FI,Helsinki
91.103.140.134,2053,91.103.140.0/24,EU,FI,Helsinki
109.120.185.100,2053,109.120.184.0/22,EU,FI,Helsinki
91.108.241.188,443,91.108.240.0/23,EU,FI,Helsinki
95.214.9.72,443,95.214.9.0/24,EU,FI,Helsinki
66.151.34.172,2053,66.151.32.0/22,EU,FI,Helsinki
46.8.228.182,8443,46.8.224.0/21,EU,FI,Helsinki
85.192.61.198,443,85.192.60.0/23,EU,FI,Helsinki
65.108.209.46,443,65.108.0.0/15,EU,FI,Helsinki
45.138.73.83,443,45.138.73.0/24,EU,FI,Helsinki
46.8.232.217,443,46.8.232.0/23,EU,FI,Helsinki
193.164.155.89,2053,193.164.155.0/24,EU,FI,Helsinki
37.27.206.159,2096,37.27.0.0/16,EU,FI,Helsinki
85.192.61.48,443,85.192.60.0/23,EU,FI,Helsinki
193.109.84.39,443,193.109.84.0/24,EU,FI,Helsinki
23.164.240.213,8443,23.164.240.0/24,EU,FI,Helsinki
37.27.15.83,8443,37.27.0.0/16,EU,FI,Helsinki
193.124.180.241,443,193.124.180.0/23,EU,FI,Helsinki
65.109.192.28,12216,65.108.0.0/15,EU,FI,Helsinki
188.130.154.234,8443,188.130.154.0/24,EU,FI,Helsinki
109.120.184.120,2053,109.120.184.0/22,EU,FI,Helsinki
77.91.78.97,2053,77.91.78.0/24,EU,FI,Helsinki
188.130.154.234,2053,188.130.154.0/24,EU,FI,Helsinki
45.9.72.101,443,45.9.72.0/24,EU,FI,Helsinki
109.120.151.180,2053,109.120.150.0/23,EU,FI,Helsinki
65.109.210.191,2053,65.108.0.0/15,EU,FI,Helsinki
94.142.138.174,2053,94.142.138.0/24,EU,FI,Helsinki
65.109.201.6,8443,65.108.0.0/15,EU,FI,Helsinki
65.109.182.235,19517,65.108.0.0/15,EU,FI,Helsinki
65.109.201.6,2053,65.108.0.0/15,EU,FI,Helsinki
185.174.137.106,8443,185.174.137.0/24,EU,FI,Helsinki
139.28.220.16,2053,139.28.220.0/23,EU,FI,Helsinki
35.217.24.30,2053,35.216.0.0/15,EU,FI,Lappeenranta
95.216.215.126,2053,95.216.0.0/15,EU,FI,Helsinki
65.108.149.250,8443,65.108.0.0/15,EU,FI,Helsinki
35.228.168.221,443,35.224.0.0/12,EU,FI,Lappeenranta
141.98.169.81,8443,141.98.168.0/23,EU,FI,Helsinki
217.144.188.80,2053,217.144.188.0/23,EU,FI,Helsinki
141.98.169.81,2053,141.98.168.0/23,EU,FI,Helsinki
77.221.144.221,443,77.221.144.0/24,EU,FI,N/A
135.181.34.150,443,135.181.0.0/16,EU,FI,Helsinki
185.252.144.185,8443,185.252.144.0/24,EU,FI,Helsinki
185.228.235.67,2096,185.228.235.0/24,EU,FI,Helsinki
77.221.159.63,2053,77.221.152.0/21,EU,FI,Helsinki
45.156.22.63,2053,45.156.22.0/23,EU,FI,Helsinki
65.109.206.116,1981,65.108.0.0/15,EU,FI,Helsinki
185.117.119.143,443,185.117.119.0/24,EU,FI,Helsinki
45.138.73.182,443,45.138.73.0/24,EU,FI,Helsinki
65.109.227.138,2053,65.108.0.0/15,EU,FI,Helsinki
195.26.230.99,8443,195.26.230.0/23,EU,FI,Helsinki
65.108.218.32,2053,65.108.0.0/15,EU,FI,Helsinki
65.109.181.192,4475,65.108.0.0/15,EU,FI,Helsinki
95.164.113.130,443,95.164.112.0/22,EU,FI,Helsinki
185.105.118.126,2053,185.105.118.0/24,EU,FI,Helsinki
217.196.99.67,443,217.196.99.0/24,EU,FI,Helsinki
135.181.30.234,2053,135.181.0.0/16,EU,FI,Helsinki
77.221.158.125,2053,77.221.152.0/21,EU,FI,Helsinki
65.109.207.234,2096,65.108.0.0/15,EU,FI,Helsinki
65.109.209.200,2095,65.108.0.0/15,EU,FI,Helsinki
185.212.149.127,443,185.212.149.0/24,EU,FI,Helsinki
194.67.200.82,443,194.67.200.0/24,EU,FI,Helsinki
217.144.188.249,2053,217.144.188.0/23,EU,FI,Helsinki
79.137.206.166,8443,79.137.204.0/22,EU,FI,Helsinki
193.84.2.14,8443,193.84.2.0/23,EU,FI,Helsinki
135.181.21.43,443,135.181.0.0/16,EU,FI,Helsinki
176.124.206.150,2053,176.124.206.0/23,EU,FI,Helsinki
109.120.187.210,8443,109.120.184.0/22,EU,FI,Helsinki
176.124.206.60,2053,176.124.206.0/23,EU,FI,Helsinki
217.144.188.37,2053,217.144.188.0/23,EU,FI,Helsinki
185.188.181.14,443,185.188.181.0/24,EU,FI,Helsinki
185.105.118.135,8443,185.105.118.0/24,EU,FI,Helsinki
194.180.189.36,443,194.180.188.0/23,EU,FI,Helsinki
185.17.2.108,8443,185.17.2.0/24,EU,FI,Helsinki
65.109.192.28,57286,65.108.0.0/15,EU,FI,Helsinki
217.144.188.10,443,217.144.188.0/23,EU,FI,Helsinki
31.58.137.94,443,31.58.137.0/24,EU,FI,Helsinki
46.8.233.147,443,46.8.232.0/23,EU,FI,Helsinki
95.217.186.94,2053,95.216.0.0/15,EU,FI,Helsinki
95.217.195.186,2053,95.216.0.0/15,EU,FI,Helsinki
91.108.241.5,8443,91.108.240.0/23,EU,FI,Helsinki
185.188.181.218,2053,185.188.181.0/24,EU,FI,Helsinki
85.192.61.187,2053,85.192.60.0/23,EU,FI,Helsinki
185.174.137.149,8443,185.174.137.0/24,EU,FI,Helsinki
193.84.2.58,8443,193.84.2.0/23,EU,FI,Helsinki
45.144.234.58,2053,45.144.232.0/22,EU,FI,Helsinki
91.103.140.118,8443,91.103.140.0/24,EU,FI,Helsinki
65.109.181.177,38450,65.108.0.0/15,EU,FI,Helsinki
91.103.140.118,2053,91.103.140.0/24,EU,FI,Helsinki
77.91.78.15,8443,77.91.78.0/24,EU,FI,Helsinki
45.156.22.237,8443,45.156.22.0/23,EU,FI,Helsinki
194.53.54.84,2053,194.53.54.0/24,EU,FI,Helsinki
159.255.33.66,2053,159.255.32.0/23,EU,FI,Helsinki
91.108.241.54,2053,91.108.240.0/23,EU,FI,Helsinki
66.151.34.227,2053,66.151.32.0/22,EU,FI,Helsinki
65.108.242.203,8443,65.108.0.0/15,EU,FI,Helsinki
95.217.134.104,443,95.216.0.0/15,EU,FI,Helsinki
65.109.209.55,2053,65.108.0.0/15,EU,FI,Helsinki
193.233.112.252,2053,193.233.112.0/23,EU,FI,Helsinki
91.108.241.211,8449,91.108.240.0/23,EU,FI,Helsinki
95.216.190.1,443,95.216.0.0/15,EU,FI,Helsinki
91.108.241.44,8443,91.108.240.0/23,EU,FI,Helsinki
185.221.196.176,443,185.221.196.0/24,EU,FI,Helsinki
65.109.186.249,2053,65.108.0.0/15,EU,FI,Helsinki
79.137.206.15,8443,79.137.204.0/22,EU,FI,Helsinki
79.137.206.64,443,79.137.204.0/22,EU,FI,Helsinki
5.181.20.165,81,5.181.20.0/23,EU,FI,Helsinki
185.104.250.207,8443,185.104.250.0/24,EU,FI,Helsinki
45.159.249.160,2053,45.159.248.0/22,EU,FI,Helsinki
185.104.250.207,2053,185.104.250.0/24,EU,FI,Helsinki
185.40.7.224,443,185.40.7.0/24,EU,FI,Helsinki
95.182.99.128,2053,95.182.96.0/22,EU,FI,Helsinki
79.137.248.211,2053,79.137.248.0/24,EU,FI,Helsinki
77.91.78.214,2053,77.91.78.0/24,EU,FI,Helsinki
79.137.248.187,8443,79.137.248.0/24,EU,FI,Helsinki
176.124.206.79,2053,176.124.206.0/23,EU,FI,Helsinki
79.137.248.124,8443,79.137.248.0/24,EU,FI,Helsinki
46.8.70.45,8443,46.8.68.0/22,EU,FI,Helsinki
95.182.99.170,8443,95.182.96.0/22,EU,FI,Helsinki
91.108.241.47,2053,91.108.240.0/23,EU,FI,Helsinki
77.91.70.242,2053,77.91.70.0/24,EU,FI,Helsinki
91.103.140.175,2053,91.103.140.0/24,EU,FI,Helsinki
91.108.241.161,2053,91.108.240.0/23,EU,FI,Helsinki
79.137.248.200,8443,79.137.248.0/24,EU,FI,Helsinki
217.144.188.181,2053,217.144.188.0/23,EU,FI,Helsinki
194.53.54.67,8000,194.53.54.0/24,EU,FI,Helsinki
135.181.195.12,443,135.181.0.0/16,EU,FI,Helsinki
37.27.6.95,8443,37.27.0.0/16,EU,FI,Helsinki
23.164.240.143,2053,23.164.240.0/24,EU,FI,Helsinki
185.17.2.103,2053,185.17.2.0/24,EU,FI,Helsinki
45.156.22.114,443,45.156.22.0/23,EU,FI,Helsinki
95.217.186.94,9443,95.216.0.0/15,EU,FI,Helsinki
65.109.207.234,8738,65.108.0.0/15,EU,FI,Helsinki
45.138.73.136,2053,45.138.73.0/24,EU,FI,Helsinki
91.108.241.56,8443,91.108.240.0/23,EU,FI,Helsinki
65.109.209.85,2053,65.108.0.0/15,EU,FI,Helsinki
65.21.243.37,50120,65.21.0.0/16,EU,FI,Helsinki
77.221.158.176,8443,77.221.152.0/21,EU,FI,Helsinki
91.108.241.56,2053,91.108.240.0/23,EU,FI,Helsinki
65.109.189.187,3030,65.108.0.0/15,EU,FI,Helsinki
65.109.186.190,2053,65.108.0.0/15,EU,FI,Helsinki
37.27.184.127,2053,37.27.0.0/16,EU,FI,Helsinki
65.108.159.173,443,65.108.0.0/15,EU,FI,Helsinki
185.87.150.54,443,185.87.148.0/22,EU,FR,Paris
51.83.228.230,8443,51.83.0.0/16,EU,FR,N/A
135.125.4.40,443,135.125.0.0/16,EU,FR,N/A
135.125.123.246,5432,135.125.0.0/16,EU,FR,N/A
51.178.231.65,443,51.178.0.0/16,EU,FR,N/A
146.103.49.200,8443,146.103.49.0/24,EU,FR,Gravelines
51.83.228.230,2053,51.83.0.0/16,EU,FR,N/A
46.8.224.219,8443,46.8.224.0/21,EU,FR,Paris
51.83.228.224,8443,51.83.0.0/16,EU,FR,N/A
146.103.49.64,2053,146.103.49.0/24,EU,FR,Gravelines
141.94.206.218,2053,141.94.0.0/15,EU,FR,N/A
46.8.224.219,2053,46.8.224.0/21,EU,FR,Paris
141.94.68.157,8443,141.94.0.0/15,EU,FR,N/A
103.102.231.71,2053,103.102.231.0/24,EU,FR,N/A
141.95.193.15,8443,141.94.0.0/15,EU,FR,N/A
141.94.63.242,8443,141.94.0.0/15,EU,FR,N/A
95.182.98.206,8443,95.182.96.0/22,EU,FR,Paris
141.94.222.46,8443,141.94.0.0/15,EU,FR,N/A
146.103.49.247,2053,146.103.49.0/24,EU,FR,Gravelines
141.94.206.137,2053,141.94.0.0/15,EU,FR,N/A
162.19.253.47,8443,162.19.0.0/16,EU,FR,N/A
185.231.205.92,2053,185.231.204.0/22,EU,FR,Paris
95.182.97.147,8443,95.182.96.0/22,EU,FR,Paris
162.19.253.47,2053,162.19.0.0/16,EU,FR,N/A
51.38.50.52,2053,51.38.0.0/16,EU,FR,N/A
103.102.231.164,2053,103.102.231.0/24,EU,FR,N/A
141.94.206.26,8443,141.94.0.0/15,EU,FR,N/A
51.38.44.17,443,51.38.0.0/16,EU,FR,N/A
147.45.68.220,2053,147.45.68.0/22,EU,FR,Paris
158.178.206.197,2053,158.178.192.0/19,EU,FR,Paris
193.70.0.150,2053,193.70.0.0/17,EU,FR,N/A
193.42.62.215,2053,193.42.60.0/22,EU,FR,Strasbourg
191.96.153.68,2053,191.96.153.0/24,EU,FR,Paris
136.244.115.71,8443,136.244.64.0/18,EU,FR,Aubervilliers
191.96.153.35,2053,191.96.153.0/24,EU,FR,Paris
146.103.49.99,2053,146.103.49.0/24,EU,FR,Gravelines
51.195.41.72,2053,51.195.0.0/16,EU,FR,N/A
141.94.220.157,2053,141.94.0.0/15,EU,FR,N/A
54.37.64.126,2053,54.36.0.0/14,EU,FR,N/A
193.176.153.198,443,193.176.153.0/24,EU,FR,Paris
103.102.231.248,2053,103.102.231.0/24,EU,FR,N/A
193.42.62.188,2053,193.42.60.0/22,EU,FR,Strasbourg
162.19.246.187,8443,162.19.0.0/16,EU,FR,N/A
38.180.62.4,38392,38.180.60.0/22,EU,FR,Paris
51.83.40.171,8443,51.83.0.0/16,EU,FR,Anzin
146.59.19.208,2053,146.59.0.0/16,EU,FR,N/A
141.94.221.163,2053,141.94.0.0/15,EU,FR,N/A
51.195.119.76,8443,51.195.0.0/16,EU,FR,N/A
88.218.77.42,8443,88.218.76.0/22,EU,FR,Strasbourg
51.178.83.50,2053,51.178.0.0/16,EU,FR,N/A
185.159.131.165,2053,185.159.131.0/24,EU,FR,Paris
92.222.24.127,8443,92.222.0.0/16,EU,FR,Paris
141.94.222.73,2053,141.94.0.0/15,EU,FR,N/A
162.19.254.52,8443,162.19.0.0/16,EU,FR,N/A
95.182.96.14,2053,95.182.96.0/22,EU,FR,Paris
103.102.231.42,2053,103.102.231.0/24,EU,FR,N/A
147.45.42.100,2053,147.45.40.0/22,EU,FR,Paris
135.125.191.180,2053,135.125.0.0/16,EU,FR,N/A
89.168.43.31,8443,89.168.32.0/19,EU,FR,Paris
45.112.195.46,2053,45.112.195.0/24,EU,FR,N/A
141.94.221.2,2053,141.94.0.0/15,EU,FR,N/A
103.102.231.76,2053,103.102.231.0/24,EU,FR,N/A
5.196.13.217,8443,5.196.0.0/16,EU,FR,N/A
135.125.232.253,8443,135.125.0.0/16,EU,FR,N/A
191.96.153.217,2053,191.96.153.0/24,EU,FR,Paris
152.228.191.232,443,152.228.128.0/17,EU,FR,N/A
5.196.13.217,2053,5.196.0.0/16,EU,FR,N/A
146.103.49.109,8443,146.103.49.0/24,EU,FR,Gravelines
135.125.232.253,2053,135.125.0.0/16,EU,FR,N/A
163.172.151.138,8443,163.172.0.0/16,EU,FR,Paris
109.176.244.10,2053,109.176.244.0/24,EU,FR,Gravelines
141.94.222.188,2053,141.94.0.0/15,EU,FR,N/A
193.176.179.214,443,193.176.179.0/24,EU,FR,Paris
51.255.171.207,8443,51.254.0.0/15,EU,FR,N/A
145.239.201.33,8443,145.239.0.0/16,EU,FR,N/A
141.94.205.129,2053,141.94.0.0/15,EU,FR,N/A
162.19.24.253,8443,162.19.0.0/16,EU,FR,N/A
141.94.204.144,2053,141.94.0.0/15,EU,FR,N/A
94.23.168.201,2053,94.23.0.0/16,EU,FR,N/A
51.38.226.4,8443,51.38.0.0/16,EU,FR,N/A
109.120.178.197,443,109.120.176.0/22,EU,FR,Paris
51.38.98.176,443,51.38.0.0/16,EU,FR,N/A
185.159.131.180,8443,185.159.131.0/24,EU,FR,Paris
51.210.96.119,2053,51.210.0.0/16,EU,FR,N/A
51.195.116.16,8443,51.195.0.0/16,EU,FR,N/A
146.103.49.185,8443,146.103.49.0/24,EU,FR,Gravelines
88.218.76.170,443,88.218.76.0/22,EU,FR,Strasbourg
5.196.27.246,2053,5.196.0.0/16,EU,FR,N/A
136.244.119.80,8443,136.244.64.0/18,EU,FR,Aubervilliers
162.19.247.245,443,162.19.0.0/16,EU,FR,N/A
45.112.195.176,2053,45.112.195.0/24,EU,FR,N/A
141.94.207.218,8443,141.94.0.0/15,EU,FR,N/A
45.112.195.18,2053,45.112.195.0/24,EU,FR,N/A
141.94.68.162,8443,141.94.0.0/15,EU,FR,N/A
141.94.223.93,8443,141.94.0.0/15,EU,FR,N/A
191.96.153.67,2053,191.96.153.0/24,EU,FR,Paris
51.38.48.27,8443,51.38.0.0/16,EU,FR,N/A
141.94.223.93,2053,141.94.0.0/15,EU,FR,N/A
87.98.175.43,2087,87.98.128.0/17,EU,FR,N/A
51.38.224.25,2053,51.38.0.0/16,EU,FR,N/A
51.195.43.174,8443,51.195.0.0/16,EU,FR,N/A
51.210.150.130,8443,51.210.0.0/16,EU,FR,N/A
141.94.221.79,8443,141.94.0.0/15,EU,FR,N/A
54.36.100.7,2053,54.36.0.0/14,EU,FR,N/A
51.178.81.163,8443,51.178.0.0/16,EU,FR,N/A
109.176.244.161,2053,109.176.244.0/24,EU,FR,Gravelines
103.102.231.54,2053,103.102.231.0/24,EU,FR,N/A
51.178.82.214,8443,51.178.0.0/16,EU,FR,N/A
178.32.42.230,8443,178.32.0.0/15,EU,FR,N/A
37.187.225.21,2053,37.187.0.0/16,EU,FR,N/A
141.95.149.52,8443,141.94.0.0/15,EU,FR,N/A
51.195.42.9,8443,51.195.0.0/16,EU,FR,N/A
191.96.153.228,2053,191.96.153.0/24,EU,FR,Paris
194.116.217.98,8443,194.116.216.0/23,EU,FR,Paris
51.195.42.9,2053,51.195.0.0/16,EU,FR,N/A
146.103.49.184,2053,146.103.49.0/24,EU,FR,Gravelines
141.94.222.3,8443,141.94.0.0/15,EU,FR,N/A
51.178.37.179,8443,51.178.0.0/16,EU,FR,N/A
194.36.170.247,443,194.36.170.0/23,EU,FR,Paris
188.165.26.180,8443,188.165.0.0/16,EU,FR,N/A
103.102.231.13,2053,103.102.231.0/24,EU,FR,N/A
88.218.78.162,8443,88.218.76.0/22,EU,FR,Strasbourg
193.70.0.78,2053,193.70.0.0/17,EU,FR,N/A
146.103.49.205,8443,146.103.49.0/24,EU,FR,Gravelines
188.165.54.172,8443,188.165.0.0/16,EU,FR,N/A
146.59.153.77,8443,146.59.0.0/16,EU,FR,N/A
162.19.252.222,2053,162.19.0.0/16,EU,FR,N/A
141.94.220.21,8443,141.94.0.0/15,EU,FR,N/A
146.103.49.205,2053,146.103.49.0/24,EU,FR,Gravelines
141.94.221.78,8443,141.94.0.0/15,EU,FR,N/A
109.176.244.33,2053,109.176.244.0/24,EU,FR,Gravelines
51.38.49.23,2053,51.38.0.0/16,EU,FR,N/A
103.102.231.169,2053,103.102.231.0/24,EU,FR,N/A
